"","ID","Symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"207428_x_at","207428_x_at","CDK11B",-0.231792894970081,6.93954725306843,-3.52152538433641,0.00167999125029158,0.271269891523532,-1.14010729002335
"206985_at","206985_at","HSD17B3",-0.166283023464494,5.57433391796598,-3.51584887128726,0.0017040741083579,0.273179016953519,-1.15203822409837
"220119_at","220119_at","EPB41L4A",-0.306736170022101,5.55274191736132,-3.50691326263421,0.00174266712846171,0.273863946411299,-1.17080963183055
"212637_s_at","212637_s_at","WWP1",0.144652365294463,3.46758349420774,3.49833612814327,0.00178051238052729,0.273863946411299,-1.18881690711879
"212190_at","212190_at","SERPINE2",0.819709657832037,8.95794830975393,3.49635938987661,0.00178934730786155,0.273863946411299,-1.1929654206005
"215270_at","215270_at","LFNG",-0.207106773341635,5.23792515199587,-3.49430175362096,0.00179858916506702,0.273863946411299,-1.19728309064488
"206393_at","206393_at","TNNI2",-0.198062473338111,5.65874122795743,-3.49427690256517,0.0017987010670754,0.273863946411299,-1.19733523332734
"220687_at","220687_at","LOC101927550",-0.255122441560088,5.31220543965452,-3.49290441578852,0.00180489178941517,0.273863946411299,-1.2002148519202
"201045_s_at","201045_s_at","RAB6A",-0.321982888632567,5.56548023023643,-3.49130652391191,0.00181212537022527,0.273863946411299,-1.20356703660977
"205314_x_at","205314_x_at","SNTB2",-0.20482047297347,4.35949338180975,-3.48746536555687,0.0018296298267806,0.273863946411299,-1.2116237475916
"216707_at","216707_at",NA,-0.215607775475931,4.78647962705602,-3.48615921132812,0.00183561950656318,0.273863946411299,-1.21436285676647
"221020_s_at","221020_s_at","SLC25A32",0.370355776020026,5.22017648496686,3.48519380207562,0.00184005888800613,0.273863946411299,-1.21638723016197
"35148_at","35148_at","TJP3",-0.148915032931387,4.23215204919947,-3.48213275362109,0.0018542041907771,0.273863946411299,-1.22280502590965
"207899_at","207899_at","GIP",-0.156699825015842,5.03095589282849,-3.48178242443325,0.00185582982130351,0.273863946411299,-1.22353943511252
"211225_at","211225_at","FUT5",-0.197929460430969,5.71440132056496,-3.46432335279325,0.0019386265582624,0.282659355309023,-1.2601156428677
"202932_at","202932_at","YES1",0.398884163170769,6.3335578186115,3.45235367525566,0.00199745637314913,0.282659355309023,-1.28516423369559
"219032_x_at","219032_x_at","OPN3",-0.231450050045968,5.97546979890801,-3.45180413029048,0.00200019862467795,0.282659355309023,-1.2863137054975
"209042_s_at","209042_s_at","UBE2G2",0.433839359696525,6.34600151584194,3.45112314443338,0.00200360185246069,0.282659355309023,-1.28773804273706
"205175_s_at","205175_s_at","KHK",-0.182135349198843,5.45036411531381,-3.44602456853231,0.00202926154336697,0.282659355309023,-1.29839977440138
"210446_at","210446_at","GATA1",-0.194755280312742,5.89632192199968,-3.44490519951601,0.00203493764801626,0.282659355309023,-1.30073995105876
"202135_s_at","202135_s_at","ACTR1B",0.210699293609911,8.18067408077711,3.44220172498469,0.00204871019572054,0.282659355309023,-1.30639106082066
"201072_s_at","201072_s_at","SMARCC1",-0.209614065453362,6.24953971226104,-3.44153001135671,0.00205214619872179,0.282659355309023,-1.30779497021001
"209849_s_at","209849_s_at","RAD51C",0.219715227800355,6.67881454977118,3.4400675406676,0.00205964653715972,0.282659355309023,-1.31085134251693
"216926_s_at","216926_s_at","MAU2",-0.160941739186097,4.18479729695903,-3.43865805825495,0.0020669003423676,0.282659355309023,-1.3137966486615
"206124_s_at","206124_s_at","LLGL1",-0.172217669623567,6.23048524500405,-3.43823572267988,0.00206907869579682,0.282659355309023,-1.31467911386549
"221362_at","221362_at","HTR5A",-0.149714541664561,4.66731329581452,-3.43176312966262,0.00210274405640415,0.282659355309023,-1.32819989001994
"201642_at","201642_at","IFNGR2",0.418063464398786,8.06830781482614,3.43155875194088,0.00210381569493722,0.282659355309023,-1.32862670884872
"201135_at","201135_at","ECHS1",0.28023306831151,8.68525122905443,3.42898406968472,0.00211736139087113,0.282659355309023,-1.33400304347845
"209029_at","209029_at","COPS7A",0.278463366426875,8.09595803525709,3.42596234321956,0.00213336717950854,0.282659355309023,-1.3403114860832
"211903_s_at","211903_s_at","MPL",-0.191121506016849,4.84989553424437,-3.42074932997672,0.00216125681942648,0.282659355309023,-1.35119112256675
"215668_s_at","215668_s_at","PLXNB1",-0.181599965607895,6.69715829900935,-3.41784610941798,0.00217694231971223,0.282659355309023,-1.35724823221299
"207113_s_at","207113_s_at","TNF",-0.204675987776304,5.74928226948044,-3.41249852962423,0.00220612416077868,0.282659355309023,-1.36840142747962
"215481_s_at","215481_s_at","PEX5",-0.14945488059899,5.79921994130504,-3.41206590379363,0.00220850155288396,0.282659355309023,-1.36930352527923
"213588_x_at","213588_x_at","RPL14",-0.225937185613382,11.2127946619155,-3.41076842871055,0.00221564645093065,0.282659355309023,-1.37200879092738
"217747_s_at","217747_s_at","RPS9",-0.327061629613763,10.3303968871392,-3.409327376634,0.00222360831161602,0.282659355309023,-1.37501308580491
"216865_at","216865_at","COL14A1",-0.106480073275886,4.47395960338577,-3.40928866030673,0.00222382260348782,0.282659355309023,-1.37509379649453
"206736_x_at","206736_x_at","CHRNA4",-0.177585176795953,4.95660111879002,-3.40856868716791,0.00222781125569564,0.282659355309023,-1.37659465540532
"218303_x_at","218303_x_at","KRCC1",0.369123349982271,6.30242064370705,3.4081300129599,0.00223024491707012,0.282659355309023,-1.37750907453701
"221113_s_at","221113_s_at","WNT16",-0.172929820925254,5.63226870284573,-3.40699921213247,0.00223653024695877,0.282659355309023,-1.37986608601609
"220536_at","220536_at","VRTN",-0.165842472041726,6.15505436865609,-3.40344800578407,0.00225638096119306,0.282659355309023,-1.38726671936943
"208917_x_at","208917_x_at","NADK",-0.21556460323587,6.48244313954304,-3.40303171730209,0.00225871912554091,0.282659355309023,-1.38813411496489
"210569_s_at","210569_s_at","SIGLEC9",-0.18255569827844,5.56902340516071,-3.40054977202404,0.00227270835557368,0.282659355309023,-1.39330498491125
"219578_s_at","219578_s_at","CPEB1",-0.166433542898448,6.90304907542133,-3.39592959465965,0.00229897390228453,0.282659355309023,-1.40292783356587
"212574_x_at","212574_x_at","TMEM259",-0.294910784972967,5.7793988672124,-3.39525116286025,0.00230285549332633,0.282659355309023,-1.40434055506484
"208492_at","208492_at","RFXAP",-0.17874623443588,4.36108725346765,-3.39216657454857,0.00232058407726865,0.282659355309023,-1.41076269983724
"214635_at","214635_at","CLDN9",-0.190488945975223,6.62610711765686,-3.39203367274117,0.00232135089626851,0.282659355309023,-1.41103936595187
"218019_s_at","218019_s_at",NA,0.5359657233377,7.40517328950719,3.38606058248857,0.00235606960926105,0.283932397229152,-1.42347059350585
"212002_at","212002_at","SZRD1",-0.190414796775024,7.83751304441606,-3.38585217795622,0.00235729001873146,0.283932397229152,-1.42390421446011
"217365_at","217365_at","PRAMEF11",-0.190740286331565,5.95137230019378,-3.38146005399214,0.00238315330284963,0.284991752246534,-1.43304101319866
"216695_s_at","216695_s_at","TNKS",-0.127783204961156,3.83961677347284,-3.37954924152038,0.00239449099547713,0.284991752246534,-1.43701496514578
"213755_s_at","213755_s_at","MORN1",-0.192958720336509,6.22977033050036,-3.37787733929856,0.00240445404220026,0.284991752246534,-1.44049152616923
"204664_at","204664_at","ALPP",-0.199618482478156,5.40393020720796,-3.3755925833712,0.00241813420806219,0.285096743694443,-1.44524166384059
"219796_s_at","219796_s_at","CDHR5",-0.212950716309932,4.88267236996551,-3.37081696687363,0.00244697289135021,0.286978404936614,-1.4551674695554
"213000_at","213000_at","MORC3",0.359744306697228,4.51938656126383,3.36501225449273,0.00248247537510016,0.289617794677262,-1.4672267388915
"216017_s_at","216017_s_at","NAB2",-0.199085200829889,5.30331065585907,-3.3608770181541,0.00250807124800198,0.289889696592739,-1.47581401099651
"203579_s_at","203579_s_at","SLC7A6",-0.25164263155388,5.40351391534059,-3.36035515573225,0.00251131954790449,0.289889696592739,-1.47689749783433
"204356_at","204356_at","LIMK1",-0.227949251497713,5.92682702572545,-3.35835066112591,0.00252383436426834,0.289889696592739,-1.48105875946924
"202842_s_at","202842_s_at","DNAJB9",0.292205529128212,7.12323327606265,3.3561016776915,0.002537947595453,0.29001582702297,-1.48572671026091
"208005_at","208005_at","NTN1",-0.175348559748549,4.66210786599488,-3.34649294869231,0.0025991124975808,0.29548991726323,-1.50566010339176
